id,year,AGDP,AGHE,AAFE,K,T
4,2015,30205.4979,695.152947650208,962.555785564405,8322.98245092319,13.28561350363
4,2016,32904.75181,713.2088,927.2650,8707.11085375645,14.0021914398265
5,2007,25013.00,139.903124858431,229.139111672895,12142.0811722372,2.84425273521713
5,2008,29115.132,163.084246819662,307.308067039619,14390.6714027392,2.46253388622831
5,2009,32841.8689,239.155560076751,360.46047331072,16701.2901952806,2.4328580813254
5,2010,37932.35857,220.046266101426,366.191921623275,29983.427195976,2.18282728794031
5,2011,42711.83576,285.871129979608,377.584611635715,31021.4322630368,30.9561685017389
5,2012,46880.51093,339.871124962314,470.346691596515,34029.8810213708,47.8451744321929
5,2013,48802.61187,385.059119276439,521.4020,38710.9940049393,10.6085481794157
5,2014,52853.22866,561.291989878273,584.599832837179,43323.5337866398,3.8643338
5,2015,57028.63372,573.072834074162,620.868959033028,48518.1798684429,50.9360689717697
5,2016,61566.23102,612.27737774419,674.637755845369,51859.594149136,52.5955022931618
6,2007,20156.00,159.194514749184,226.472447242729,14205.7821479063,0.818870104349261
6,2008,22776.28,191.073031243284,273.647261539462,14301.142811733,0.76436298125114
6,2009,25441.10476,317.7797,517.971469402173,18196.2551931763,1.368174372381
6,2010,28850.2128,316.952644259578,476.336257688917,26233.7786461824,1.58484645868159
6,2011,32139.13706,382.199128462494,430.165044141263,27880.5477026349,1.89751154921678
6,2012,35957.26654,532.83553460446,504.056147705222,35528.2404067887,2.19604737197334
6,2013,39517.03593,517.363453071799,613.986988682614,37187.775,2.35430797556215
6,2014,43192.12027,867.779849581771,832.834074471173,39642.5024920538,2.6120582
6,2015,46820.25837,852.05822973528,805.28704257121,43043.9596802245,4.1503767
6,2016,50703.0624,880.8523,787.104018139033,43651.964575922,3.09162987678432
7,2007,8487.00,90.1540328149115,203.8295467194,1369.1944970865,5.86061444478656
7,2008,9530.901,136.4432,269.081337492884,1483.99701838582,5.57775275980986
7,2009,10712.73272,233.3886,344.7210,2175.52778427995,4.26563840958389
7,2010,12180.37711,258.2094,366.8886,2686.93385703656,4.28837756667451
7,2011,13629.84198,326.3215,418.9115,3051.25858502344,5.34330385613825
7,2012,15194.54784,347.2698,551.3783,3704.44078594363,6.36801157686959
7,2013,16729.19717,415.1682,604.8785,4440.40433467551,5.70080396897825
7,2014,18335.2001,567.38581548873,737.41143704054,5261.97712472007,6.66691611995706
7,2015,20003.70331,696.478753369407,816.077902268938,6306.8739194827,7.75680708972591
7,2016,21800.25591,719.154967245813,932.8026,7155.00453096771,8.67782054689939
8,2007,8559.00,114.365936540499,283.011256747893,2291.12994822711,2.39787344993334
8,2008,9791.496,148.953864659039,356.662097239741,2424.08177668328,2.23484886271114
8,2009,11054.59898,222.4616,466.0448,3247.10153772896,2.41556041965353
8,2010,12624.35204,266.5085,500.82087991879,3935.46623453718,2.51968938460999
8,2011,14164.52299,310.594287484191,525.3278,3687.62553028934,2.43231263041065
8,2012,15705.62309,334.1643,701.5355,3572.49847432645,2.2003325803518
8,2013,17370.41914,410.1708,761.2922,3762.68023401215,1.19546648903476
8,2014,19090.09063,489.570852865785,869.098368590156,3930.61780923828,1.8904251
8,2015,20846.37897,602.694360597667,1037.83387501503,4179.65649947315,1.9171143
8,2016,22680.86032,683.696513838848,1023.2418,4263.52789211561,3.21309478518507
9,2007,9441.00,112.140861233823,204.927509101826,3380.09877067542,2.39472088534751
9,2008,10630.566,143.012972302138,277.0248,3200.4405826829,2.23582642129608
9,2009,11938.12562,220.1277,415.1546,4093.71869406724,2.5480910328168
9,2010,13800.47321,371.009721607588,664.320510465991,7011.755,4.11152382322137
9,2011,15484.13095,283.026876283744,500.967627274061,5113.442623973,3.2721410247946
9,2012,17202.86948,316.716036324542,559.7496,5359.72518882814,3.18536955966786
9,2013,18888.75069,373.202459623469,652.9146,5914.67996799415,3.15923549436091
9,2014,20720.95951,498.007273224406,767.410575823324,6529.33464608451,3.5783310405118
9,2015,22606.56682,578.367929292089,866.928136483393,7328.02608771372,4.61385566733366
9,2016,24573.33814,602.0832,890.4310,7874.07778711058,4.46193497141145
10,2007,9570.00,107.057033896677,246.454240499328,1495.41228656499,1.6403795646671
10,2008,10871.52,149.739553379544,345.7181,1419.6940,2.00181896957032
10,2009,12295.68912,211.844319378504,437.1320,1820.8710,1.46566624343615
10,2010,14041.67698,268.5005,506.5954,2283.8056,1.51470382098277
10,2011,15754.76157,359.5495,617.4718,2106.2158,2.03677479101841
10,2012,17355.44534,367.681611575532,638.2738,2287.1939,2.85311018488529
10,2013,19073.63443,451.569421145333,748.7055,2405.2664,2.91960021290347
10,2014,20885.6297,540.502582251497,833.269368088395,2592.41392271807,3.32348126403535
10,2015,22702.67948,652.636706068452,908.179134203342,2849.80341972705,3.85619982009875
10,2016,24600.32835,683.0461,951.573526390534,3010.17416087236,3.59113299185805
